input_text,label
Berater: ja genau privatkonto ehm dann wäre es so es gibt eben ganz spezielle bestimmungen die wir dann einfach haben müssten,advance
"Berater: jetzt habe ich aber das problem dass ich die größe von meinem bruder nicht kenne, er ist ungefähr ein stück größer als du und viel schmaler
",advance
Berater: haben sie noch einen lohn der aus konto kommt?,advance
"Berater: nEIn, sie bekommen von mir den pass mit der erteilten auf- Aufenthaltserlaubnis,
jEtzt, hIer und hEUte, sofOrt, die ist fErtig",advance
Berater: und dieses zuviel dieses ungleichgewicht der der anlagen das ist letzlich die ursache die die feststellbare ursache für den mongolismus für das  dawn-syndrom wie wir sagen,non_advance
"Berater: Der wäre Nicht ausreichend, wenn sie den Nicht hätten, müsste ich sie zum deutschtest schicken",advance
"Berater: es ist jetzt hier eine liste von nahezu hundert organisationen, ja?",advance
"Berater: Berater: seit wann ist jetzt das, seit wann ist jetzt das?",non_advance
Berater: weil sie sind ja gleichgestellt sie brauchen eine abweisung weil sie eben schon ein vielleicht kriegens wo anderes was mit unserer abweisung weiß ich nicht,advance
Berater: das ist ja unsinnig wenn sie also dort hinziehen und dann hier ein konto hier in pinefur führen.,advance
"Berater: Berater: es hilft ihnen ja ihre belastung zu reduzieren beziehungsweise, ihren eigenkapitaleinsatz nicht so hoch zu gestalten",non_advance
Berater: gehn wir mal so davon aus 3l also erstmal und sie haben dreißig tausend  jetzt zur verfügung,advance
Berater: und hier würde ich ihnen empfehlen diesen  vertrag dann in die finanzierung mit einzunehmen,advance
Berater: sie müssen dann beide frei nehmen das können sie als arztbesuch das heißt sie kriegen ja natürlich von uns eine bescheinigung dass sie beim arzt waren,non_advance
"Berater: Berater: sie kriegen jetzt  einen großen fInger gezeigt.
Klient: Oh, das heißt?
 ",non_advance
"Berater: also wOhlgemerkt, der termin muss nicht unbedingt heut schon gemacht werden können,",advance
"Berater: Klient: dann  werd ich mich kündigen und werde mich kundigen und nicht mehr arbeiten
",non_advance
"Berater: hast du da schon mal einen außendienst gemacht?
",advance
"Berater: Berater:und dann muss ich gucken, ob das in Ordnung ist, ja?",non_advance
Berater: helfen sie mir kurz auf die sprünge welcher tätigkeitsbereich war das?,advance
Berater: hat ihr mAnn jetzt eine Anstellung gefunden eine Arbeit gefunden?,non_advance
"Berater: grundsätzlich müssten wir alles ja nur immer mit einem anwalt besprechen,
aber ich ja will sie jetzt nicht über alles in unkenntnis lassen.",advance
"Berater: ja, ich wollte meine, pAss abholen",advance
